"::","2001:1ff:ffff:ffff:ffff:ffff:ffff:ffff","US"
"2001:200::","2001:200:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:201::","2001:207:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:208::","2001:208:ffff:ffff:ffff:ffff:ffff:ffff","SG"
"2001:209::","2001:217:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:218::","2001:218:3002:ffff:ffff:ffff:ffff:ffff","JP"
"2001:218:3003::","2001:218:3003:ffff:ffff:ffff:ffff:ffff","NL"
"2001:218:3004::","2001:218:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:219::","2001:21f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:220::","2001:220:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:221::","2001:227:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:228::","2001:228:1fff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:228:2000::","2001:22f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:230::","2001:230:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:231::","2001:237:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:238::","2001:238:ffff:ffff:ffff:ffff:ffff:ffff","TW"
"2001:239::","2001:23f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:240::","2001:240:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:241::","2001:24f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:250::","2001:252:ffff:ffff:ffff:ffff:ffff:ffff","CN"
"2001:253::","2001:253:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:254::","2001:254:ffff:ffff:ffff:ffff:ffff:ffff","CN"
"2001:255::","2001:255:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:256::","2001:256:ffff:ffff:ffff:ffff:ffff:ffff","CN"
"2001:257::","2001:257:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:258::","2001:258:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:259::","2001:25f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:260::","2001:260:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:261::","2001:267:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:268::","2001:268:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:269::","2001:26f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:270::","2001:270:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:271::","2001:277:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:278::","2001:278:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:279::","2001:27f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:280::","2001:280:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:281::","2001:287:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:288::","2001:288:ffff:ffff:ffff:ffff:ffff:ffff","TW"
"2001:289::","2001:28f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:290::","2001:290:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:291::","2001:297:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:298::","2001:298:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:299::","2001:29f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:2a0::","2001:2a0:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:2a1::","2001:2a7:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:2a8::","2001:2a8:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:2a9::","2001:2af:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:2b0::","2001:2b0:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:2b1::","2001:2b7:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:2b8::","2001:2b8:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:2b9::","2001:2bf:ffff:ffff:ffff:ffff:ffff:ffff","AU"
